ProjectID,TotalCost_THB,UnitCostPer_m2_THB,DelayDays,EOT_Days,ProfitMargin_%
P001,155938752,16746.0,0,15,10.9
P002,100309320,7090.0,30,30,10.5
P003,77536800,11748.0,0,30,11.3
P004,75260394,13311.0,0,30,10.0
P005,40179750,8242.0,30,60,5.6
P006,205129940,11630.0,45,45,10.1
P007,82947630,4898.0,0,30,14.5
P008,39110812,15236.0,30,60,9.5
P009,122859644,10798.0,15,45,9.9
P010,118324464,6224.0,0,15,12.3
P011,22750956,3483.0,0,0,6.7
P012,170996402,12722.0,0,0,10.8
P013,45497952,4302.0,45,45,9.2
P014,192169322,18017.0,45,75,15.0
P015,216181560,12810.0,0,0,7.6
P016,65071938,12066.0,0,0,8.3
P017,24445780,4370.0,15,30,14.0
P018,94346356,11131.0,15,15,12.9
P019,309617316,19692.0,30,60,14.8
P020,46280334,11346.0,0,30,9.4
P021,113345412,16777.0,30,60,12.5
P022,58710258,5778.0,15,45,11.6
P023,153515204,19199.0,30,30,6.5
P024,130739940,17502.0,45,75,13.9
P025,31104600,5640.0,0,0,7.3
