ProjectID,StaffQty,LaborQty,Concrete_m3,Rebar_kg,Formwork_m2,CraneRent_Days,ExcavatorRent_Days,TotalMachineRentCost_THB
P001,3,67,2473,173374,2966,50,91,2365000
P002,14,453,4289,280030,4674,117,68,3360000
P003,11,252,2578,173490,3690,53,85,2335000
P004,4,432,1665,108815,2531,145,112,4580000
P005,10,90,1720,106327,1623,28,19,845000
P006,13,77,5080,320868,5331,184,112,5360000
P007,13,270,3485,273858,15497,78,30,2010000
P008,20,406,1075,68824,1330,171,83,4665000
P009,23,50,3057,238777,10260,18,65,1335000
P010,16,201,6217,431089,15405,172,83,4685000
P011,17,433,2994,212593,2190,138,107,4365000
P012,25,394,6702,476615,10791,39,24,1140000
P013,5,324,2330,179960,6162,145,31,3365000
P014,24,350,3093,205138,8813,18,1,375000
P015,20,380,4906,390895,14597,135,1,2715000
P016,18,148,2543,195612,1966,108,106,3750000
P017,7,299,1179,79446,3841,110,16,2440000
P018,16,32,2151,168831,7184,105,102,3630000
P019,9,224,4692,362630,15358,71,44,2080000
P020,13,243,1557,109345,2323,147,24,3300000
P021,12,361,2178,148208,3425,32,24,1000000
P022,17,246,4091,287284,8693,188,21,4075000
P023,5,253,2593,188239,3487,178,49,4295000
P024,17,361,2684,191043,3900,193,114,5570000
P025,10,160,1830,135915,2559,85,40,2300000
